Crop	Scientific name 	Dependence on pollinators	Dependence rate	Pollinator group	Order	Family	Species	reference	doi/link	Obs
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Trigona branneri	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Trigona pallens	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Trigona recursa	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Trigonisca dobzhanskyi	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Trigonisca hirticornis	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Trigonisca sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Trigonisca dobzhanskyi	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Trigonisca nataliae	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Trigonisca unidentada	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Trigonisca vitrifrons	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Colletidae	Hylaeus sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Formicidae*	Formicidae spp.	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Halictidae	Augochlora sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Halictidae	Augochlorodes sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Halictidae	Augochloropsis sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Halictidae	Dialictus sp.1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Halictidae	Habralictus sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Halictidae	Neocorynura sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Halictidae	Pereiapis sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Halictidae	Temnosoma sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Halictidae	Undetermined	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Vespidae	Brachygastra scutellaris	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Vespidae	Morphospecies 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Vespidae	Polistes infuscatus	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Vespidae	Polybia bicyttarela	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Vespidae	Polybia bistriata	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Vespidae	Polybia sp. 2	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Vespidae	Polybia occidentalis	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Vespidae	Polybia rejecta	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
